sgRNA	Gene	sample1
MGLibA_01208	4930412D23Rik	4120003
MGLibA_17697	Fam83f	5701198
MGLibA_09737	Cebpg	327984
MGLibA_59489	Wfdc5	140875
MGLibA_22221	Gnb2	190474
MGLibA_03836	Alg1	21139
MGLibA_64059	mmu-mir-466b-1	10235
MGLibA_45271	Rgl3	6452
MGLibA_17244	Fam163a	3511
MGLibA_20056	Glb1l2	79
MGLibA_32899	Myl9	5821
MGLibA_01232	4930430A15Rik	3368
MGLibA_58789	Vmn2r5	157194
MGLibA_29488	Lrrc4b	17721
MGLibA_35182	Nvl	77583
MGLibA_11863	Crebl2	953
MGLibA_11696	Cplx4	5732
MGLibA_37133	Olfr310	1506
MGLibA_39157	Ovol2	8019
MGLibA_47033	Sart1	4135
MGLibA_51174	Spr	7224
MGLibA_66891	NonTargetingControlGuideForMouse_0486	15963
MGLibA_53107	Tceb3	3882
MGLibA_03896	Alox12	8584
MGLibA_13351	Dcaf12l1	2871
MGLibA_60694	Zfp383	847
MGLibA_18846	Foxp2	3409
MGLibA_28190	Krtap3-1	1410
MGLibA_19662	Gcnt3	204
MGLibA_67226	NonTargetingControlGuideForMouse_0821	3702
MGLibA_22320	Golga3	4225
MGLibA_09851	Cep104	24
MGLibA_53063	Tcap	47
MGLibA_50622	Sox18	4
MGLibA_67295	NonTargetingControlGuideForMouse_0890	1
MGLibA_64133/MGLibA_64159/	mmu-mir-466b-5/mmu-mir-466b-7/	9
MGLibA_06977	Bmp1	57
MGLibA_13736	Defa26	1
MGLibA_16629	Esp6-esp5	2
MGLibA_66680	NonTargetingControlGuideForMouse_0275	1
MGLibA_13717/MGLibA_13738/MGLibA_20917/MGLibA_21157/	Defa20/Defa2/Gm15308/Gm21002/	2
MGLibA_64052/MGLibA_64074/MGLibA_64091/MGLibA_64123/MGLibA_64149/MGLibA_64168/	mmu-mir-466o/mmu-mir-466b-8/mmu-mir-466e/mmu-mir-466b-4/mmu-mir-466b-6/mmu-mir-466b-2/	12
MGLibA_66473	NonTargetingControlGuideForMouse_0068	1
