sgRNA	Gene	sample1
MGLibA_22345	Golph3	25
MGLibA_33869	Nfe2l2	140
MGLibA_40626	Pgs1	67
MGLibA_14528	Dnajc1	84
MGLibA_35696	Olfr10	82
MGLibA_48284	Sh3bp5l	139
MGLibA_58120	Vmn1r179	43
MGLibA_22966	Grik1	125
MGLibA_43124	Prrc2b	258
MGLibA_33696	Nefm	115
MGLibA_18819	Foxn1	113
MGLibA_50466	Snx32	104
MGLibA_51377	Srsf12	254
MGLibA_63369	mmu-mir-6957	220
MGLibA_40875	Pigc	174
MGLibA_11712	Cpne3	200
MGLibA_13473	Dctn4	174
MGLibA_12050	Cryl1	212
MGLibA_49142	Slc26a10	44
MGLibA_34293	Nmral1	106
MGLibA_36568	Olfr1431	262
MGLibA_42471	Ppp6c	266
MGLibA_35371	Odam	176
MGLibA_20472	Gm11992	158
MGLibA_53690	Thap1	115
MGLibA_13266	Dapk2	389
MGLibA_40958	Pik3ca	255
MGLibA_04143	Angptl3	63
MGLibA_13370	Dcaf4	98
MGLibA_35277	Oas1e	79
MGLibA_49125	Slc25a48	36
MGLibA_10565	Clca3	151
MGLibA_54751	Tmem39b	197
MGLibA_25815	Il1rap	154
MGLibA_50503	Socs1	105
MGLibA_25941	Ilf2	195
MGLibA_11115	Cnot7	63
MGLibA_59898	Yipf2	188
MGLibA_18836	Foxo4	117
MGLibA_13980	Dffb	41
MGLibA_45352	Rgs9	184
MGLibA_38373	Olfr810	75
MGLibA_20558/MGLibA_42542/	Gm13102/Pramel4/	343
MGLibA_22625	Gpr156	99
MGLibA_01965	A530016L24Rik	122
MGLibA_63479	mmu-mir-6365	171
MGLibA_24997	Hsfy2	192
MGLibA_08739	Cck	86
MGLibA_46839	S100a4	111
MGLibA_35448	Ola1	143
MGLibA_55820	Trim43b	153
MGLibA_19028/MGLibA_20773/	Fthl17/Gm14458/	121
MGLibA_07974	Capsl	116
MGLibA_30065	Maged1	71
MGLibA_41780	Podxl2	242
MGLibA_54625	Tmem234	189
MGLibA_22357	Gopc	148
MGLibA_22221	Gnb2	159
MGLibA_50912	Spef1	228
MGLibA_12408	Ctsk	493
MGLibA_01144	4921507P07Rik	189
MGLibA_28920	Lig1	91
MGLibA_47813	Serpina1e	45
MGLibA_08287	Ccbl2	119
MGLibA_23231	Gtdc1	82
MGLibA_02237	Aasdhppt	95
MGLibA_27992	Krt222	56
MGLibA_26621	Izumo1	128
MGLibA_44913	Rc3h2	162
MGLibA_00195	1700001C02Rik	26
MGLibA_47906	Serpinb6c	136
MGLibA_54153	Tmc7	43
MGLibA_63932	mmu-mir-6993	112
MGLibA_57551	Usp22	84
MGLibA_08513	Ccdc25	87
MGLibA_15304	E2f6	114
MGLibA_01635	5330417C22Rik	329
MGLibA_59158	Wap	123
MGLibA_18016	Fbxo43	24
MGLibA_52750	Tas2r109	177
MGLibA_08558	Ccdc42b	196
MGLibA_33267	Narfl	86
MGLibA_37279	Olfr370	338
MGLibA_36650	Olfr1466	161
MGLibA_54490	Tmem189	97
MGLibA_13576	Ddx18	72
MGLibA_34223	Nlrp4g	89
MGLibA_31810	Mpp6	152
MGLibA_58388	Vmn1r45	97
MGLibA_15177	Dync1li1	82
MGLibA_51995	Sucla2	124
MGLibA_41282	Plac1	42
MGLibA_58698/MGLibA_58718/MGLibA_58730/MGLibA_58733/MGLibA_58739/MGLibA_58751/MGLibA_58755/	Vmn2r31/Vmn2r38/Vmn2r41/Vmn2r42/Vmn2r44/Vmn2r48/Vmn2r49/	434
MGLibA_37491	Olfr466	266
MGLibA_02664	Acot13	238
MGLibA_36165	Olfr1277	85
MGLibA_24433	Hlcs	75
MGLibA_33482	Ndnl2	104
MGLibA_11891	Crhr1	171
