sgRNA	Gene	sample1
MGLibB_20649/MGLibB_25689/MGLibB_25691/	Gm13305/Il11ra1/Il11ra2/	5078699
MGLibB_52526	Tacr1	2202374
MGLibB_38211	Olfr743	177679
MGLibB_17486	Fam221b	152088
MGLibB_39225	P2ry2	135624
MGLibB_43996	Qdpr	85346
MGLibB_62664	NonTargetingControlGuideForMouse_0860	77958
MGLibB_44774	Rbm26	288573
MGLibB_62658	NonTargetingControlGuideForMouse_0854	33531
MGLibB_31267	Mical2	4416
MGLibB_44960	Rd3	10469
MGLibB_10021	Ces3b	10739
MGLibB_62755	NonTargetingControlGuideForMouse_0951	3094
MGLibB_39801	Pcdhb20	23612
MGLibB_44095	Rab17	3974
MGLibB_05453	Asf1a	15049
MGLibB_30581	Mbtps2	2223
MGLibB_37341	Olfr3	2898
MGLibB_45909	Rnf215	11852
MGLibB_23756/MGLibB_23759/	Hba-a1/Hba-a2/	3342
MGLibB_07916	Cap2	5929
MGLibB_56148	Tsen54	1162
MGLibB_09529	Cdk1	674
MGLibB_17053	Fam109b	536
MGLibB_35967	Olfr1212	465
MGLibB_59754	Xpc	90
MGLibB_58766	Vmn2r59	514
MGLibB_62404	NonTargetingControlGuideForMouse_0600	464
MGLibB_18804	Foxl2	74
MGLibB_61813	NonTargetingControlGuideForMouse_0009	121
MGLibB_22082	Gm9733	16
MGLibB_45544	Ric3	1
MGLibB_18995	Fshr	1
MGLibB_48564	Six3	2
MGLibB_54808	Tmem62	1
MGLibB_35585	Olfr1047	1
MGLibB_10566	Clca4	5
MGLibB_27254	Kdm7a	1
MGLibB_13100	D19Bwg1357e	1
MGLibB_00040	1-Mar	0
MGLibB_00041	1-Mar	0
MGLibB_00042	1-Mar	0
MGLibB_00663	2-Mar	0
MGLibB_00664	2-Mar	0
MGLibB_00665	2-Mar	0
MGLibB_01026	3-Mar	0
MGLibB_01027	3-Mar	0
MGLibB_01028	3-Mar	0
MGLibB_01098	4-Mar	0
MGLibB_01099	4-Mar	0
MGLibB_01100	4-Mar	0
MGLibB_01617	5-Mar	0
MGLibB_01618	5-Mar	0
MGLibB_01619	5-Mar	0
MGLibB_01689	6-Mar	0
MGLibB_01690	6-Mar	0
MGLibB_01691	6-Mar	0
MGLibB_01743	7-Mar	0
MGLibB_01744	7-Mar	0
MGLibB_01745	7-Mar	0
MGLibB_01758	8-Mar	0
MGLibB_01759	8-Mar	0
MGLibB_01760	8-Mar	0
MGLibB_01782	9-Mar	0
MGLibB_01783	9-Mar	0
MGLibB_01784	9-Mar	0
MGLibB_00046	10-Mar	0
MGLibB_00047	10-Mar	0
MGLibB_00048	10-Mar	0
MGLibB_00052	11-Mar	0
MGLibB_00053	11-Mar	0
MGLibB_00054	11-Mar	0
MGLibB_00043	1-Sep	0
MGLibB_00044	1-Sep	0
MGLibB_00045	1-Sep	0
MGLibB_00666	2-Sep	0
MGLibB_00667	2-Sep	0
MGLibB_00668	2-Sep	0
MGLibB_01029	3-Sep	0
MGLibB_01030	3-Sep	0
MGLibB_01031	3-Sep	0
MGLibB_01101	4-Sep	0
MGLibB_01102	4-Sep	0
MGLibB_01103	4-Sep	0
MGLibB_01620	5-Sep	0
MGLibB_01621	5-Sep	0
MGLibB_01622	5-Sep	0
MGLibB_01692	6-Sep	0
MGLibB_01693	6-Sep	0
MGLibB_01694	6-Sep	0
MGLibB_01746	7-Sep	0
MGLibB_01747	7-Sep	0
MGLibB_01748	7-Sep	0
MGLibB_01761	8-Sep	0
MGLibB_01762	8-Sep	0
MGLibB_01763	8-Sep	0
MGLibB_01785	9-Sep	0
MGLibB_01786	9-Sep	0
MGLibB_01787	9-Sep	0
MGLibB_00049	10-Sep	0
MGLibB_00050	10-Sep	0
MGLibB_00051	10-Sep	0
MGLibB_00055	11-Sep	0
MGLibB_00056	11-Sep	0
MGLibB_00057	11-Sep	0
MGLibB_00145	12-Sep	0
MGLibB_00146	12-Sep	0
MGLibB_00147	12-Sep	0
MGLibB_00157	14-Sep	0
MGLibB_00158	14-Sep	0
MGLibB_00159	14-Sep	0
MGLibB_00160	15-Sep	0
MGLibB_00161	15-Sep	0
MGLibB_00162	15-Sep	0
MGLibB_00001	0610007P14Rik	0
MGLibB_00002	0610007P14Rik	0
MGLibB_00003	0610007P14Rik	0
MGLibB_00004	0610009B22Rik	0
MGLibB_00005	0610009B22Rik	0
MGLibB_00006	0610009B22Rik	0
MGLibB_00007	0610009D07Rik	0
MGLibB_00008	0610009D07Rik	0
MGLibB_00009	0610009D07Rik	0
MGLibB_00010	0610009O20Rik	0
MGLibB_00011	0610009O20Rik	0
MGLibB_00012	0610009O20Rik	0
MGLibB_00013/MGLibB_20700/MGLibB_20704/MGLibB_20713/MGLibB_20719/MGLibB_21842/	0610010B08Rik/Gm14295/Gm14305/Gm14322/Gm14326/Gm6710/	0
MGLibB_00015/MGLibB_20710/MGLibB_20740/MGLibB_20743/MGLibB_20755/MGLibB_21432/MGLibB_21844/	0610010B08Rik/Gm14308/Gm14391/Gm14393/Gm14434/Gm4724/Gm6710/	0
MGLibB_00014/MGLibB_20711/MGLibB_20756/MGLibB_21433/	0610010B08Rik/Gm14308/Gm14434/Gm4724/	0
MGLibB_00016	0610010F05Rik	0
MGLibB_00017	0610010F05Rik	0
MGLibB_00018	0610010F05Rik	0
MGLibB_00019	0610010K14Rik	0
MGLibB_00020	0610010K14Rik	0
MGLibB_00021	0610010K14Rik	0
MGLibB_00022	0610011F06Rik	0
MGLibB_00023	0610011F06Rik	0
MGLibB_00024	0610011F06Rik	0
MGLibB_00025	0610012H03Rik	0
MGLibB_00026	0610012H03Rik	0
MGLibB_00027	0610012H03Rik	0
MGLibB_00028	0610030E20Rik	0
MGLibB_00029	0610030E20Rik	0
MGLibB_00030	0610030E20Rik	0
MGLibB_00031	0610031J06Rik	0
MGLibB_00032	0610031J06Rik	0
MGLibB_00033	0610031J06Rik	0
MGLibB_00034	0610037L13Rik	0
MGLibB_00035	0610037L13Rik	0
MGLibB_00036	0610037L13Rik	0
MGLibB_00037	0610040J01Rik	0
MGLibB_00038	0610040J01Rik	0
MGLibB_00039	0610040J01Rik	0
MGLibB_00058	1100001G20Rik	0
MGLibB_00059	1100001G20Rik	0
MGLibB_00060	1100001G20Rik	0
MGLibB_00061	1110001A16Rik	0
MGLibB_00062	1110001A16Rik	0
MGLibB_00063	1110001A16Rik	0
MGLibB_00064	1110001J03Rik	0
MGLibB_00065	1110001J03Rik	0
MGLibB_00066	1110001J03Rik	0
MGLibB_00067	1110004E09Rik	0
MGLibB_00068	1110004E09Rik	0
MGLibB_00069	1110004E09Rik	0
MGLibB_00070	1110004F10Rik	0
MGLibB_00071	1110004F10Rik	0
MGLibB_00072	1110004F10Rik	0
MGLibB_00073	1110007C09Rik	0
MGLibB_00074	1110007C09Rik	0
MGLibB_00075	1110007C09Rik	0
MGLibB_00076	1110008F13Rik	0
MGLibB_00077	1110008F13Rik	0
MGLibB_00078	1110008F13Rik	0
MGLibB_00079	1110008J03Rik	0
MGLibB_00080	1110008J03Rik	0
MGLibB_00081	1110008J03Rik	0
MGLibB_00082	1110008L16Rik	0
MGLibB_00083	1110008L16Rik	0
MGLibB_00084	1110008L16Rik	0
MGLibB_00085	1110008P14Rik	0
MGLibB_00086	1110008P14Rik	0
MGLibB_00087	1110008P14Rik	0
MGLibB_00088	1110012L19Rik	0
MGLibB_00089	1110012L19Rik	0
MGLibB_00090	1110012L19Rik	0
MGLibB_00091	1110017D15Rik	0
MGLibB_00092	1110017D15Rik	0
MGLibB_00093	1110017D15Rik	0
MGLibB_00095/MGLibB_20257/	1110025L11Rik/Gm10228/	0
MGLibB_00096/MGLibB_20258/	1110025L11Rik/Gm10228/	0
MGLibB_00094/MGLibB_20256/MGLibB_20260/MGLibB_28235/	1110025L11Rik/Gm10228/Gm10229/Krtap6-1/	0
MGLibB_00097	1110032A03Rik	0
MGLibB_00098	1110032A03Rik	0
MGLibB_00099	1110032A03Rik	0
MGLibB_00100	1110032F04Rik	0
MGLibB_00101	1110032F04Rik	0
MGLibB_00102	1110032F04Rik	0
MGLibB_00103	1110034G24Rik	0
MGLibB_00104	1110034G24Rik	0
MGLibB_00105	1110034G24Rik	0
MGLibB_00106	1110037F02Rik	0
MGLibB_00107	1110037F02Rik	0
MGLibB_00108	1110037F02Rik	0
MGLibB_00109	1110038F14Rik	0
MGLibB_00110	1110038F14Rik	0
MGLibB_00111	1110038F14Rik	0
MGLibB_00112	1110051M20Rik	0
MGLibB_00113	1110051M20Rik	0
MGLibB_00114	1110051M20Rik	0
MGLibB_00115	1110057K04Rik	0
MGLibB_00116	1110057K04Rik	0
MGLibB_00117	1110057K04Rik	0
MGLibB_00118	1110058L19Rik	0
MGLibB_00119	1110058L19Rik	0
MGLibB_00120	1110058L19Rik	0
MGLibB_00121	1110059E24Rik	0
MGLibB_00122	1110059E24Rik	0
MGLibB_00123	1110059E24Rik	0
MGLibB_00124	1110059G10Rik	0
MGLibB_00125	1110059G10Rik	0
MGLibB_00126	1110059G10Rik	0
MGLibB_00127	1110059M19Rik	0
MGLibB_00128	1110059M19Rik	0
MGLibB_00129	1110059M19Rik	0
MGLibB_00130	1110065P20Rik	0
MGLibB_00131	1110065P20Rik	0
MGLibB_00132	1110065P20Rik	0
MGLibB_00133	1190002N15Rik	0
MGLibB_00134	1190002N15Rik	0
MGLibB_00135	1190002N15Rik	0
MGLibB_00136	1190003K10Rik	0
MGLibB_00137	1190003K10Rik	0
MGLibB_00138	1190003K10Rik	0
MGLibB_00139	1190005I06Rik	0
MGLibB_00140	1190005I06Rik	0
MGLibB_00141	1190005I06Rik	0
MGLibB_00142	1190007I07Rik	0
MGLibB_00143	1190007I07Rik	0
MGLibB_00144	1190007I07Rik	0
MGLibB_00148	1200014J11Rik	0
MGLibB_00149	1200014J11Rik	0
MGLibB_00150	1200014J11Rik	0
MGLibB_00151	1300002K09Rik	0
MGLibB_00152	1300002K09Rik	0
MGLibB_00153	1300002K09Rik	0
MGLibB_00154	1300017J02Rik	0
MGLibB_00155	1300017J02Rik	0
MGLibB_00156	1300017J02Rik	0
MGLibB_00163	1500009L16Rik	0
MGLibB_00164	1500009L16Rik	0
MGLibB_00165	1500012F01Rik	0
MGLibB_00166	1500012F01Rik	0
MGLibB_00167	1500012F01Rik	0
MGLibB_00168	1500015O10Rik	0
MGLibB_00169	1500015O10Rik	0
MGLibB_00170	1500015O10Rik	0
MGLibB_00171	1600002H07Rik	0
MGLibB_00172	1600002H07Rik	0
MGLibB_00173	1600002H07Rik	0
MGLibB_00174	1600002K03Rik	0
MGLibB_00175	1600002K03Rik	0
MGLibB_00176	1600002K03Rik	0
MGLibB_00177	1600012H06Rik	0
MGLibB_00178	1600012H06Rik	0
MGLibB_00179	1600012H06Rik	0
MGLibB_00180	1600014C10Rik	0
MGLibB_00181	1600014C10Rik	0
MGLibB_00182	1600014C10Rik	0
MGLibB_00183	1600014C23Rik	0
MGLibB_00184	1600014C23Rik	0
MGLibB_00185	1600014C23Rik	0
MGLibB_00186	1600014K23Rik	0
MGLibB_00187	1600014K23Rik	0
MGLibB_00188	1600014K23Rik	0
MGLibB_00189	1600015I10Rik	0
MGLibB_00190	1600015I10Rik	0
MGLibB_00191	1600015I10Rik	0
MGLibB_00192	1600016N20Rik	0
MGLibB_00193	1600016N20Rik	0
MGLibB_00194	1600016N20Rik	0
MGLibB_00195	1700001C02Rik	0
MGLibB_00196	1700001C02Rik	0
MGLibB_00197	1700001C02Rik	0
MGLibB_00198	1700001C19Rik	0
MGLibB_00199	1700001C19Rik	0
MGLibB_00200	1700001C19Rik	0
MGLibB_00201	1700001F09Rik	0
MGLibB_00203/MGLibB_20287/MGLibB_20290/	1700001F09Rik/Gm10375/Gm10377/	0
MGLibB_00202/MGLibB_20286/MGLibB_20289/	1700001F09Rik/Gm10375/Gm10377/	0
MGLibB_00204	1700001J03Rik	0
MGLibB_00205	1700001J03Rik	0
MGLibB_00206	1700001J03Rik	0
MGLibB_00207	1700001K19Rik	0
MGLibB_00208	1700001K19Rik	0
MGLibB_00209	1700001K19Rik	0
MGLibB_00210	1700001L19Rik	0
MGLibB_00211	1700001L19Rik	0
MGLibB_00212	1700001L19Rik	0
MGLibB_00213	1700001O22Rik	0
MGLibB_00214	1700001O22Rik	0
MGLibB_00215	1700001O22Rik	0
MGLibB_00216	1700001P01Rik	0
MGLibB_00217	1700001P01Rik	0
MGLibB_00218	1700001P01Rik	0
MGLibB_00219	1700003E16Rik	0
MGLibB_00220	1700003E16Rik	0
MGLibB_00221	1700003E16Rik	0
MGLibB_00222	1700003F12Rik	0
MGLibB_00223	1700003F12Rik	0
MGLibB_00224	1700003F12Rik	0
MGLibB_00225	1700003M02Rik	0
MGLibB_00226	1700003M02Rik	0
MGLibB_00227	1700003M02Rik	0
MGLibB_00228	1700006A11Rik	0
MGLibB_00229	1700006A11Rik	0
MGLibB_00230	1700006A11Rik	0
MGLibB_00231	1700006E09Rik	0
MGLibB_00232	1700006E09Rik	0
MGLibB_00233	1700006E09Rik	0
MGLibB_00234	1700007B14Rik	0
MGLibB_00235	1700007B14Rik	0
MGLibB_00236	1700007B14Rik	0
MGLibB_00237	1700007G11Rik	0
MGLibB_00238	1700007G11Rik	0
MGLibB_00239	1700007G11Rik	0
MGLibB_00240	1700007K09Rik	0
MGLibB_00241	1700007K09Rik	0
MGLibB_00242	1700007K09Rik	0
MGLibB_00243	1700007K13Rik	0
MGLibB_00244	1700007K13Rik	0
MGLibB_00245	1700007K13Rik	0
MGLibB_00246	1700008A04Rik	0
MGLibB_00247	1700008A04Rik	0
MGLibB_00248	1700008A04Rik	0
MGLibB_00249	1700008F21Rik	0
MGLibB_00250	1700008F21Rik	0
MGLibB_00251	1700008F21Rik	0
MGLibB_00252	1700008I05Rik	0
MGLibB_00253	1700008I05Rik	0
MGLibB_00254	1700008I05Rik	0
MGLibB_00255	1700008O03Rik	0
MGLibB_00256	1700008O03Rik	0
MGLibB_00257	1700008O03Rik	0
MGLibB_00258	1700008P02Rik	0
MGLibB_00259	1700008P02Rik	0
MGLibB_00260	1700008P02Rik	0
MGLibB_00261	1700009N14Rik	0
MGLibB_00262	1700009N14Rik	0
MGLibB_00263	1700009N14Rik	0
MGLibB_00264	1700009P17Rik	0
MGLibB_00265	1700009P17Rik	0
MGLibB_00266	1700009P17Rik	0
MGLibB_00267	1700010B08Rik	0
MGLibB_00268	1700010B08Rik	0
MGLibB_00269	1700010B08Rik	0
MGLibB_00270	1700010D01Rik	0
MGLibB_00272/MGLibB_21757/	1700010D01Rik/Gm5941/	0
MGLibB_00271/MGLibB_21756/	1700010D01Rik/Gm5941/	0
MGLibB_00273	1700010I14Rik	0
MGLibB_00274	1700010I14Rik	0
MGLibB_00275	1700010I14Rik	0
MGLibB_00276	1700011A15Rik	0
MGLibB_00277	1700011A15Rik	0
MGLibB_00278	1700011A15Rik	0
MGLibB_00279	1700011E24Rik	0
MGLibB_00280	1700011E24Rik	0
MGLibB_00281	1700011E24Rik	0
MGLibB_00282	1700011H14Rik	0
MGLibB_00283	1700011H14Rik	0
MGLibB_00284	1700011H14Rik	0
MGLibB_00285	1700011I03Rik	0
MGLibB_00286	1700011I03Rik	0
MGLibB_00287	1700011I03Rik	0
MGLibB_00288	1700011L22Rik	0
MGLibB_00289	1700011L22Rik	0
MGLibB_00290	1700011L22Rik	0
MGLibB_00291	1700012A03Rik	0
MGLibB_00292	1700012A03Rik	0
MGLibB_00293	1700012A03Rik	0
MGLibB_00294	1700012B07Rik	0
MGLibB_00295	1700012B07Rik	0
MGLibB_00296	1700012B07Rik	0
MGLibB_00297	1700012B09Rik	0
MGLibB_00298	1700012B09Rik	0
MGLibB_00299	1700012B09Rik	0
MGLibB_00300	1700012L04Rik	0
MGLibB_00301	1700012L04Rik	0
MGLibB_00302/MGLibB_20775/MGLibB_20778/MGLibB_20781/MGLibB_20784/MGLibB_20787/MGLibB_20790/MGLibB_20793/MGLibB_20796/MGLibB_20799/MGLibB_20808/	1700012L04Rik/Gm14474/Gm14475/Gm14476/Gm14477/Gm14478/Gm14479/Gm14482/Gm14483/Gm14484/Gm14501/	0
MGLibB_00303	1700012P22Rik	0
MGLibB_00304	1700012P22Rik	0
MGLibB_00305	1700012P22Rik	0
MGLibB_00306	1700013D24Rik	0
MGLibB_00307	1700013D24Rik	0
MGLibB_00308	1700013D24Rik	0
MGLibB_00309	1700013F07Rik	0
MGLibB_00310	1700013F07Rik	0
MGLibB_00311	1700013F07Rik	0
MGLibB_00312	1700013G24Rik	0
MGLibB_00313	1700013G24Rik	0
MGLibB_00314	1700013G24Rik	0
MGLibB_00315	1700013H16Rik	0
MGLibB_00316	1700013H16Rik	0
MGLibB_00317	1700013H16Rik	0
MGLibB_00318	1700015E13Rik	0
MGLibB_00319	1700015E13Rik	0
MGLibB_00320	1700015E13Rik	0
MGLibB_00321	1700015F17Rik	0
MGLibB_00322	1700015F17Rik	0
MGLibB_00323	1700015F17Rik	0
MGLibB_00324	1700015G11Rik	0
MGLibB_00325	1700015G11Rik	0
MGLibB_00326	1700015G11Rik	0
MGLibB_00327	1700016C15Rik	0
MGLibB_00328	1700016C15Rik	0
MGLibB_00329	1700016C15Rik	0
MGLibB_00330	1700016D06Rik	0
MGLibB_00331	1700016D06Rik	0
MGLibB_00332	1700016D06Rik	0
MGLibB_00333	1700016H13Rik	0
MGLibB_00334	1700016H13Rik	0
MGLibB_00335	1700016H13Rik	0
MGLibB_00336	1700016K19Rik	0
MGLibB_00337	1700016K19Rik	0
MGLibB_00338	1700016K19Rik	0
MGLibB_00339	1700017B05Rik	0
MGLibB_00340	1700017B05Rik	0
MGLibB_00341	1700017B05Rik	0
MGLibB_00342	1700017D01Rik	0
MGLibB_00343	1700017D01Rik	0
MGLibB_00344	1700017D01Rik	0
MGLibB_00345	1700017N19Rik	0
MGLibB_00346	1700017N19Rik	0
MGLibB_00347	1700017N19Rik	0
MGLibB_00348	1700018B08Rik	0
MGLibB_00349	1700018B08Rik	0
MGLibB_00350	1700018B08Rik	0
MGLibB_00351	1700018C11Rik	0
MGLibB_00352	1700018C11Rik	0
MGLibB_00353	1700018C11Rik	0
MGLibB_00354	1700018F24Rik	0
MGLibB_00355	1700018F24Rik	0
MGLibB_00356/MGLibB_21478/	1700018F24Rik/Gm4871/	0
MGLibB_00357	1700019A02Rik	0
MGLibB_00358	1700019A02Rik	0
MGLibB_00359	1700019A02Rik	0
MGLibB_00360	1700019B03Rik	0
MGLibB_00361	1700019B03Rik	0
MGLibB_00362	1700019B03Rik	0
MGLibB_00363	1700019D03Rik	0
MGLibB_00364	1700019D03Rik	0
MGLibB_00365	1700019D03Rik	0
MGLibB_00366	1700019G17Rik	0
MGLibB_00367	1700019G17Rik	0
MGLibB_00368	1700019G17Rik	0
MGLibB_00369	1700019L03Rik	0
MGLibB_00370	1700019L03Rik	0
MGLibB_00371	1700019L03Rik	0
MGLibB_00372	1700019N19Rik	0
MGLibB_00373	1700019N19Rik	0
MGLibB_00374	1700019N19Rik	0
MGLibB_00375	1700019O17Rik	0
MGLibB_00376	1700019O17Rik	0
MGLibB_00377	1700019O17Rik	0
MGLibB_00378	1700020A23Rik	0
MGLibB_00379	1700020A23Rik	0
MGLibB_00380	1700020A23Rik	0
MGLibB_00381	1700020D05Rik	0
MGLibB_00382	1700020D05Rik	0
MGLibB_00383	1700020D05Rik	0
MGLibB_00384	1700020L24Rik	0
MGLibB_00385	1700020L24Rik	0
MGLibB_00386	1700020L24Rik	0
MGLibB_00387	1700020N15Rik	0
